"","plot","subplot","div","block","treatment"
"1","1","a","8","1","control"
"2","1","b","8","1","seasonality"
"3","1","c","8","1","extremes"
"4","1","d","8","1","both"
"5","10","a","4","1","control"
"6","10","b","4","1","seasonality"
"7","10","c","4","1","extremes"
"8","10","d","4","1","both"
"9","11","a","4","1","control"
"10","11","b","4","1","seasonality"
"11","11","c","4","1","extremes"
"12","11","d","4","1","both"
"13","12","a","4","1","control"
"14","12","b","4","1","seasonality"
"15","12","c","4","1","extremes"
"16","12","d","4","1","both"
"17","13","a","4","1","control"
"18","13","b","4","1","seasonality"
"19","13","c","4","1","extremes"
"20","13","d","4","1","both"
"21","14","a","8","1","control"
"22","14","b","8","1","seasonality"
"23","14","c","8","1","extremes"
"24","14","d","8","1","both"
"25","15","a","1","1","control"
"26","15","b","1","1","seasonality"
"27","15","c","1","1","extremes"
"28","15","d","1","1","both"
"29","16","a","1","1","control"
"30","16","b","1","1","seasonality"
"31","16","c","1","1","extremes"
"32","16","d","1","1","both"
"33","17","a","1","1","control"
"34","17","b","1","1","seasonality"
"35","17","c","1","1","extremes"
"36","17","d","1","1","both"
"37","18","a","8","1","control"
"38","18","b","8","1","seasonality"
"39","18","c","8","1","extremes"
"40","18","d","8","1","both"
"41","19","a","12","1","control"
"42","19","b","12","1","seasonality"
"43","19","c","12","1","extremes"
"44","19","d","12","1","both"
"45","2","a","12","1","control"
"46","2","b","12","1","seasonality"
"47","2","c","12","1","extremes"
"48","2","d","12","1","both"
"49","20","a","1","1","control"
"50","20","b","1","1","seasonality"
"51","20","c","1","1","extremes"
"52","20","d","1","1","both"
"53","21","a","1","1","control"
"54","21","b","1","1","seasonality"
"55","21","c","1","1","extremes"
"56","21","d","1","1","both"
"57","22","a","12","1","control"
"58","22","b","12","1","seasonality"
"59","22","c","12","1","extremes"
"60","22","d","12","1","both"
"61","23","a","12","1","control"
"62","23","b","12","1","seasonality"
"63","23","c","12","1","extremes"
"64","23","d","12","1","both"
"65","24","a","1","1","control"
"66","24","b","1","1","seasonality"
"67","24","c","1","1","extremes"
"68","24","d","1","1","both"
"69","25","a","12","1","control"
"70","25","b","12","1","seasonality"
"71","25","c","12","1","extremes"
"72","25","d","12","1","both"
"73","26","a","8","1","control"
"74","26","b","8","1","seasonality"
"75","26","c","8","1","extremes"
"76","26","d","8","1","both"
"77","27","a","4","1","control"
"78","27","b","4","1","seasonality"
"79","27","c","4","1","extremes"
"80","27","d","4","1","both"
"81","28","a","8","1","control"
"82","28","b","8","1","seasonality"
"83","28","c","8","1","extremes"
"84","28","d","8","1","both"
"85","29","a","1","1","control"
"86","29","b","1","1","seasonality"
"87","29","c","1","1","extremes"
"88","29","d","1","1","both"
"89","3","a","12","1","control"
"90","3","b","12","1","seasonality"
"91","3","c","12","1","extremes"
"92","3","d","12","1","both"
"93","30","a","12","1","control"
"94","30","b","12","1","seasonality"
"95","30","c","12","1","extremes"
"96","30","d","12","1","both"
"97","31","a","4","1","control"
"98","31","b","4","1","seasonality"
"99","31","c","4","1","extremes"
"100","31","d","4","1","both"
"101","32","a","8","1","control"
"102","32","b","8","1","seasonality"
"103","32","c","8","1","extremes"
"104","32","d","8","1","both"
"105","33","a","8","1","control"
"106","33","b","8","1","seasonality"
"107","33","c","8","1","extremes"
"108","33","d","8","1","both"
"109","34","a","1","1","control"
"110","34","b","1","1","seasonality"
"111","34","c","1","1","extremes"
"112","34","d","1","1","both"
"113","35","a","1","1","control"
"114","35","b","1","1","seasonality"
"115","35","c","1","1","extremes"
"116","35","d","1","1","both"
"117","36","a","4","1","control"
"118","36","b","4","1","seasonality"
"119","36","c","4","1","extremes"
"120","36","d","4","1","both"
"121","37","a","12","1","control"
"122","37","b","12","1","seasonality"
"123","37","c","12","1","extremes"
"124","37","d","12","1","both"
"125","38","a","8","1","control"
"126","38","b","8","1","seasonality"
"127","38","c","8","1","extremes"
"128","38","d","8","1","both"
"129","39","a","1","1","control"
"130","39","b","1","1","seasonality"
"131","39","c","1","1","extremes"
"132","39","d","1","1","both"
"133","4","a","8","1","control"
"134","4","b","8","1","seasonality"
"135","4","c","8","1","extremes"
"136","4","d","8","1","both"
"137","40","a","4","1","control"
"138","40","b","4","1","seasonality"
"139","40","c","4","1","extremes"
"140","40","d","4","1","both"
"141","41","a","4","1","control"
"142","41","b","4","1","seasonality"
"143","41","c","4","1","extremes"
"144","41","d","4","1","both"
"145","42","a","1","1","control"
"146","42","b","1","1","seasonality"
"147","42","c","1","1","extremes"
"148","42","d","1","1","both"
"149","43","a","4","1","control"
"150","43","b","4","1","seasonality"
"151","43","c","4","1","extremes"
"152","43","d","4","1","both"
"153","44","a","8","1","control"
"154","44","b","8","1","seasonality"
"155","44","c","8","1","extremes"
"156","44","d","8","1","both"
"157","45","a","8","2","control"
"158","45","b","8","2","seasonality"
"159","45","c","8","2","extremes"
"160","45","d","8","2","both"
"161","46","a","12","2","control"
"162","46","b","12","2","seasonality"
"163","46","c","12","2","extremes"
"164","46","d","12","2","both"
"165","47","a","4","2","control"
"166","47","b","4","2","seasonality"
"167","47","c","4","2","extremes"
"168","47","d","4","2","both"
"169","48","a","1","2","control"
"170","48","b","1","2","seasonality"
"171","48","c","1","2","extremes"
"172","48","d","1","2","both"
"173","49","a","8","2","control"
"174","49","b","8","2","seasonality"
"175","49","c","8","2","extremes"
"176","49","d","8","2","both"
"177","5","a","1","1","control"
"178","5","b","1","1","seasonality"
"179","5","c","1","1","extremes"
"180","5","d","1","1","both"
"181","50","a","8","2","control"
"182","50","b","8","2","seasonality"
"183","50","c","8","2","extremes"
"184","50","d","8","2","both"
"185","51","a","8","2","control"
"186","51","b","8","2","seasonality"
"187","51","c","8","2","extremes"
"188","51","d","8","2","both"
"189","52","a","8","2","control"
"190","52","b","8","2","seasonality"
"191","52","c","8","2","extremes"
"192","52","d","8","2","both"
"193","53","a","12","2","control"
"194","53","b","12","2","seasonality"
"195","53","c","12","2","extremes"
"196","53","d","12","2","both"
"197","54","a","1","2","control"
"198","54","b","1","2","seasonality"
"199","54","c","1","2","extremes"
"200","54","d","1","2","both"
"201","55","a","1","2","control"
"202","55","b","1","2","seasonality"
"203","55","c","1","2","extremes"
"204","55","d","1","2","both"
"205","56","a","4","2","control"
"206","56","b","4","2","seasonality"
"207","56","c","4","2","extremes"
"208","56","d","4","2","both"
"209","57","a","8","2","control"
"210","57","b","8","2","seasonality"
"211","57","c","8","2","extremes"
"212","57","d","8","2","both"
"213","58","a","1","2","control"
"214","58","b","1","2","seasonality"
"215","58","c","1","2","extremes"
"216","58","d","1","2","both"
"217","59","a","1","2","control"
"218","59","b","1","2","seasonality"
"219","59","c","1","2","extremes"
"220","59","d","1","2","both"
"221","6","a","8","1","control"
"222","6","b","8","1","seasonality"
"223","6","c","8","1","extremes"
"224","6","d","8","1","both"
"225","60","a","8","2","control"
"226","60","b","8","2","seasonality"
"227","60","c","8","2","extremes"
"228","60","d","8","2","both"
"229","61","a","4","2","control"
"230","61","b","4","2","seasonality"
"231","61","c","4","2","extremes"
"232","61","d","4","2","both"
"233","62","a","8","2","control"
"234","62","b","8","2","seasonality"
"235","62","c","8","2","extremes"
"236","62","d","8","2","both"
"237","63","a","1","2","control"
"238","63","b","1","2","seasonality"
"239","63","c","1","2","extremes"
"240","63","d","1","2","both"
"241","64","a","4","2","control"
"242","64","b","4","2","seasonality"
"243","64","c","4","2","extremes"
"244","64","d","4","2","both"
"245","65","a","1","2","control"
"246","65","b","1","2","seasonality"
"247","65","c","1","2","extremes"
"248","65","d","1","2","both"
"249","66","a","4","2","control"
"250","66","b","4","2","seasonality"
"251","66","c","4","2","extremes"
"252","66","d","4","2","both"
"253","67","a","8","2","control"
"254","67","b","8","2","seasonality"
"255","67","c","8","2","extremes"
"256","67","d","8","2","both"
"257","68","a","12","2","control"
"258","68","b","12","2","seasonality"
"259","68","c","12","2","extremes"
"260","68","d","12","2","both"
"261","69","a","1","2","control"
"262","69","b","1","2","seasonality"
"263","69","c","1","2","extremes"
"264","69","d","1","2","both"
"265","7","a","8","1","control"
"266","7","b","8","1","seasonality"
"267","7","c","8","1","extremes"
"268","7","d","8","1","both"
"269","70","a","12","2","control"
"270","70","b","12","2","seasonality"
"271","70","c","12","2","extremes"
"272","70","d","12","2","both"
"273","71","a","1","2","control"
"274","71","b","1","2","seasonality"
"275","71","c","1","2","extremes"
"276","71","d","1","2","both"
"277","72","a","4","2","control"
"278","72","b","4","2","seasonality"
"279","72","c","4","2","extremes"
"280","72","d","4","2","both"
"281","73","a","4","2","control"
"282","73","b","4","2","seasonality"
"283","73","c","4","2","extremes"
"284","73","d","4","2","both"
"285","74","a","8","2","control"
"286","74","b","8","2","seasonality"
"287","74","c","8","2","extremes"
"288","74","d","8","2","both"
"289","75","a","4","2","control"
"290","75","b","4","2","seasonality"
"291","75","c","4","2","extremes"
"292","75","d","4","2","both"
"293","76","a","1","2","control"
"294","76","b","1","2","seasonality"
"295","76","c","1","2","extremes"
"296","76","d","1","2","both"
"297","77","a","12","2","control"
"298","77","b","12","2","seasonality"
"299","77","c","12","2","extremes"
"300","77","d","12","2","both"
"301","78","a","4","2","control"
"302","78","b","4","2","seasonality"
"303","78","c","4","2","extremes"
"304","78","d","4","2","both"
"305","79","a","1","2","control"
"306","79","b","1","2","seasonality"
"307","79","c","1","2","extremes"
"308","79","d","1","2","both"
"309","8","a","4","1","control"
"310","8","b","4","1","seasonality"
"311","8","c","4","1","extremes"
"312","8","d","4","1","both"
"313","80","a","4","2","control"
"314","80","b","4","2","seasonality"
"315","80","c","4","2","extremes"
"316","80","d","4","2","both"
"317","81","a","4","2","control"
"318","81","b","4","2","seasonality"
"319","81","c","4","2","extremes"
"320","81","d","4","2","both"
"321","82","a","12","2","control"
"322","82","b","12","2","seasonality"
"323","82","c","12","2","extremes"
"324","82","d","12","2","both"
"325","83","a","8","2","control"
"326","83","b","8","2","seasonality"
"327","83","c","8","2","extremes"
"328","83","d","8","2","both"
"329","84","a","4","2","control"
"330","84","b","4","2","seasonality"
"331","84","c","4","2","extremes"
"332","84","d","4","2","both"
"333","85","a","1","2","control"
"334","85","b","1","2","seasonality"
"335","85","c","1","2","extremes"
"336","85","d","1","2","both"
"337","86","a","8","2","control"
"338","86","b","8","2","seasonality"
"339","86","c","8","2","extremes"
"340","86","d","8","2","both"
"341","87","a","12","2","control"
"342","87","b","12","2","seasonality"
"343","87","c","12","2","extremes"
"344","87","d","12","2","both"
"345","88","a","12","2","control"
"346","88","b","12","2","seasonality"
"347","88","c","12","2","extremes"
"348","88","d","12","2","both"
"349","9","a","4","1","control"
"350","9","b","4","1","seasonality"
"351","9","c","4","1","extremes"
"352","9","d","4","1","both"
